# Forces     
# CofR       : (5.000000e-01 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
64           	((1.326805e-06 -4.780141e-05 3.330043e-24) (1.808156e-06 6.703293e-08 8.810036e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.358084e-25 1.468001e-24 1.683408e-05) (-1.852580e-26 2.203765e-25 8.167958e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
65           	((1.344336e-06 -4.753171e-05 3.326960e-24) (1.799243e-06 6.608998e-08 8.836603e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.356131e-25 1.465979e-24 1.672126e-05) (-1.857149e-26 2.209613e-25 8.348198e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
66           	((1.361638e-06 -4.726433e-05 3.323310e-24) (1.790416e-06 6.516831e-08 8.910629e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.354037e-25 1.463791e-24 1.660955e-05) (-1.873251e-26 2.228919e-25 8.519397e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
67           	((1.378048e-06 -4.700369e-05 3.319891e-24) (1.781682e-06 6.427231e-08 8.950596e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.352019e-25 1.461689e-24 1.650074e-05) (-1.881149e-26 2.238625e-25 8.680597e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
68           	((1.393575e-06 -4.674973e-05 3.315535e-24) (1.773040e-06 6.339326e-08 9.018777e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.349813e-25 1.459358e-24 1.639483e-05) (-1.895812e-26 2.256237e-25 8.834910e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
69           	((1.420378e-06 -4.635076e-05 3.328446e-24) (1.764231e-06 6.254544e-08 9.002122e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.349444e-25 1.459672e-24 1.623321e-05) (-1.890303e-26 2.250583e-25 8.973467e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
70           	((1.418882e-06 -4.631987e-05 3.315356e-24) (1.756221e-06 6.169391e-08 9.198591e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.347695e-25 1.457327e-24 1.621379e-05) (-1.933459e-26 2.301165e-25 9.124012e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
71           	((1.438510e-06 -4.601339e-05 3.305494e-24) (1.747745e-06 6.089040e-08 9.137362e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.343773e-25 1.453075e-24 1.608859e-05) (-1.920471e-26 2.286292e-25 9.247519e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
72           	((1.462476e-06 -4.563123e-05 3.314629e-24) (1.739111e-06 6.011481e-08 9.177094e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.342827e-25 1.452644e-24 1.593400e-05) (-1.927367e-26 2.295261e-25 9.356782e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
73           	((1.459184e-06 -4.561506e-05 3.303561e-24) (1.731341e-06 5.932164e-08 9.365507e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.341556e-25 1.450860e-24 1.592069e-05) (-1.968297e-26 2.343283e-25 9.482762e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
74           	((1.487654e-06 -4.520263e-05 3.308143e-24) (1.722840e-06 5.858269e-08 9.269853e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.339330e-25 1.448972e-24 1.575470e-05) (-1.947032e-26 2.319017e-25 9.575735e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
75           	((1.485022e-06 -4.517466e-05 3.295976e-24) (1.715216e-06 5.785074e-08 9.466050e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.337669e-25 1.446759e-24 1.573717e-05) (-1.989083e-26 2.368485e-25 9.680521e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
76           	((1.512396e-06 -4.477196e-05 3.299167e-24) (1.706999e-06 5.715265e-08 9.380549e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.335248e-25 1.444612e-24 1.557514e-05) (-1.970050e-26 2.346825e-25 9.760442e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
77           	((1.509559e-06 -4.474999e-05 3.289424e-24) (1.699585e-06 5.646982e-08 9.574626e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.334121e-25 1.443034e-24 1.556002e-05) (-2.011747e-26 2.395836e-25 9.848157e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
78           	((1.536013e-06 -4.436656e-05 3.294092e-24) (1.691513e-06 5.581398e-08 9.490738e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.332185e-25 1.441427e-24 1.540544e-05) (-1.992998e-26 2.374491e-25 9.911475e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
79           	((1.532853e-06 -4.434964e-05 3.284357e-24) (1.684252e-06 5.516893e-08 9.675535e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.331049e-25 1.439841e-24 1.539254e-05) (-2.032615e-26 2.421048e-25 9.984469e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
80           	((1.558124e-06 -4.398325e-05 3.288037e-24) (1.676487e-06 5.455955e-08 9.580325e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.329062e-25 1.438134e-24 1.524477e-05) (-2.010970e-26 2.396319e-25 1.003423e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
81           	((1.554707e-06 -4.396934e-05 3.279906e-24) (1.669539e-06 5.396863e-08 9.748549e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.328245e-25 1.436934e-24 1.523332e-05) (-2.046902e-26 2.438516e-25 1.009204e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
82           	((1.578569e-06 -4.362292e-05 3.287569e-24) (1.661920e-06 5.340063e-08 9.667337e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.327265e-25 1.436394e-24 1.509347e-05) (-2.028634e-26 2.417683e-25 1.012655e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
83           	((1.590982e-06 -4.344052e-05 3.285128e-24) (1.654756e-06 5.284916e-08 9.781689e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.326122e-25 1.435177e-24 1.501587e-05) (-2.052822e-26 2.446361e-25 1.016241e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
84           	((1.599237e-06 -4.329152e-05 3.284957e-24) (1.647895e-06 5.230856e-08 9.824355e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.325437e-25 1.434515e-24 1.495275e-05) (-2.061400e-26 2.456647e-25 1.019908e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
85           	((1.605496e-06 -4.314636e-05 3.287002e-24) (1.641188e-06 5.180994e-08 9.861999e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.325139e-25 1.434335e-24 1.489189e-05) (-2.068869e-26 2.465704e-25 1.022547e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
86           	((1.612504e-06 -4.299513e-05 3.290402e-24) (1.634548e-06 5.133163e-08 9.903124e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.325124e-25 1.434496e-24 1.482848e-05) (-2.077218e-26 2.475811e-25 1.024496e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
