"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.023178,1.0065,-0.013916,0,-1.93,-3.569,0
0.022199,1.0075,-0.01481,0,-1.8536,-3.569,0
0.021155,1.0086,-0.015672,0,-1.7771,-3.569,0
0.020049,1.0097,-0.016498,0,-1.7007,-3.569,0
0.018883,1.0108,-0.017287,0,-1.6243,-3.569,0
0.017659,1.012,-0.018035,0,-1.5478,-3.569,0
0.016382,1.0133,-0.01874,0,-1.4714,-3.569,0
0.015054,1.0146,-0.0194,0,-1.395,-3.569,0
0.013678,1.0159,-0.020011,0,-1.3185,-3.569,0
0.012261,1.0173,-0.020571,0,-1.2421,-3.569,0
0.010805,1.0188,-0.021079,0,-1.1657,-3.569,0
0.0093163,1.0203,-0.021532,0,-1.0893,-3.569,0
0.0077998,1.0218,-0.021928,0,-1.0128,-3.569,0
0.0062613,1.0233,-0.022266,0,-0.9364,-3.569,0
0.0047069,1.0248,-0.022543,0,-0.85997,-3.569,0
0.0031427,1.0264,-0.022759,0,-0.78354,-3.569,0
0.0015216,1.028,-0.022773,5.4981e-23,-0.70711,-3.569,0
0.031736,1,0,0,-3,-3.4259,0
0.031713,1,-0.00087468,0,-2.9236,-3.4259,0
0.031634,1.0001,-0.0018991,0,-2.8471,-3.4259,0
0.031486,1.0003,-0.0030346,0,-2.7707,-3.4259,0
0.031267,1.0005,-0.0042231,0,-2.6943,-3.4259,0
0.030978,1.0008,-0.0054351,0,-2.6179,-3.4259,0
0.030618,1.0012,-0.0066498,0,-2.5414,-3.4259,0
0.030182,1.0017,-0.0078556,0,-2.465,-3.4259,0
0.029667,1.0022,-0.009047,0,-2.3886,-3.4259,0
0.029073,1.0028,-0.010221,0,-2.3121,-3.4259,0
0.0284,1.0035,-0.011375,0,-2.2357,-3.4259,0
0.027649,1.0043,-0.012507,0,-2.1593,-3.4259,0
0.02682,1.0051,-0.013613,0,-2.0828,-3.4259,0
0.025915,1.006,-0.014692,0,-2.0064,-3.4259,0
0.024934,1.007,-0.015741,0,-1.93,-3.4259,0
0.023881,1.008,-0.016757,0,-1.8536,-3.4259,0
0.022756,1.0091,-0.017736,0,-1.7771,-3.4259,0
0.021561,1.0103,-0.018676,0,-1.7007,-3.4259,0
0.020299,1.0115,-0.019574,0,-1.6243,-3.4259,0
0.018972,1.0128,-0.020427,0,-1.5478,-3.4259,0
0.017585,1.0142,-0.021232,0,-1.4714,-3.4259,0
0.01614,1.0156,-0.021985,0,-1.395,-3.4259,0
0.014641,1.017,-0.022684,0,-1.3185,-3.4259,0
0.013094,1.0185,-0.023325,0,-1.2421,-3.4259,0
0.011503,1.0201,-0.023907,0,-1.1657,-3.4259,0
0.0098732,1.0217,-0.024426,0,-1.0893,-3.4259,0
0.0082113,1.0233,-0.024879,0,-1.0128,-3.4259,0
0.0065235,1.025,-0.025266,0,-0.9364,-3.4259,0
0.0048166,1.0267,-0.025583,0,-0.85997,-3.4259,0
0.003098,1.0284,-0.025829,0,-0.78354,-3.4259,0
0.0013083,1.03,-0.025837,-9.047e-24,-0.70711,-3.4259,0
0.034225,1,0,0,-3,-3.2828,0
0.034201,1,-0.00098285,0,-2.9236,-3.2828,0
0.034117,1.0001,-0.0021333,0,-2.8471,-3.2828,0
0.033959,1.0003,-0.0034082,0,-2.7707,-3.2828,0
0.033726,1.0005,-0.0047422,0,-2.6943,-3.2828,0
0.033419,1.0009,-0.0061025,0,-2.6179,-3.2828,0
0.033035,1.0013,-0.0074657,0,-2.5414,-3.2828,0
0.032571,1.0018,-0.0088192,0,-2.465,-3.2828,0
0.032022,1.0023,-0.010157,0,-2.3886,-3.2828,0
0.031388,1.003,-0.011476,0,-2.3121,-3.2828,0
0.030668,1.0037,-0.012773,0,-2.2357,-3.2828,0
0.029864,1.0045,-0.014046,0,-2.1593,-3.2828,0
0.028975,1.0054,-0.015292,0,-2.0828,-3.2828,0
0.028003,1.0064,-0.016508,0,-2.0064,-3.2828,0
0.026948,1.0074,-0.017691,0,-1.93,-3.2828,0
0.025812,1.0085,-0.018838,0,-1.8536,-3.2828,0
0.024597,1.0097,-0.019945,0,-1.7771,-3.2828,0
0.023303,1.011,-0.02101,0,-1.7007,-3.2828,0
0.021934,1.0123,-0.022029,0,-1.6243,-3.2828,0
0.020492,1.0137,-0.022998,0,-1.5478,-3.2828,0
0.018981,1.0151,-0.023913,0,-1.4714,-3.2828,0
0.017403,1.0167,-0.024771,0,-1.395,-3.2828,0
0.015764,1.0182,-0.025567,0,-1.3185,-3.2828,0
0.014068,1.0199,-0.0263,0,-1.2421,-3.2828,0
0.01232,1.0215,-0.026964,0,-1.1657,-3.2828,0
0.010528,1.0233,-0.027557,0,-1.0893,-3.2828,0
0.0086972,1.025,-0.028076,0,-1.0128,-3.2828,0
0.0068355,1.0268,-0.028518,0,-0.9364,-3.2828,0
0.0049506,1.0287,-0.028881,0,-0.85997,-3.2828,0
0.0030509,1.0306,-0.029161,0,-0.78354,-3.2828,0
0.0010634,1.0324,-0.02916,-9.2212e-23,-0.70711,-3.2828,0
0.037021,1,0,0,-3,-3.1397,0
0.036995,1,-0.0010977,0,-2.9236,-3.1397,0
0.036906,1.0001,-0.0023819,0,-2.8471,-3.1397,0
0.036739,1.0003,-0.0038045,0,-2.7707,-3.1397,0
