# Forces     
# CofR       : (5.000000e-01 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
41           	((1.157686e-03 -5.179686e-03 4.784923e-22) (1.846475e-05 1.362272e-06 4.306038e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.829419e-23 2.947450e-22 1.130260e-03) (-8.961736e-25 1.074307e-23 -3.338783e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
42           	((1.153578e-03 -5.285267e-03 4.836970e-22) (1.938047e-05 1.406039e-06 4.470683e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.848439e-23 2.968289e-22 1.168687e-03) (-9.324893e-25 1.116380e-23 -3.283502e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
43           	((1.153318e-03 -5.296841e-03 4.931717e-22) (2.017564e-05 1.453920e-06 4.302251e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.866638e-23 2.990543e-22 1.170971e-03) (-8.962619e-25 1.074307e-23 -3.257335e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
44           	((1.150337e-03 -5.397823e-03 5.040455e-22) (2.110763e-05 1.504468e-06 4.502544e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.898083e-23 3.026164e-22 1.207158e-03) (-9.381365e-25 1.123639e-23 -3.225098e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
45           	((1.150240e-03 -5.409568e-03 5.171923e-22) (2.185179e-05 1.566815e-06 4.390891e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.927305e-23 3.060835e-22 1.208485e-03) (-9.142133e-25 1.096310e-23 -3.281477e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
46           	((1.153724e-03 -5.456291e-03 5.273264e-22) (2.272474e-05 1.626213e-06 4.469260e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.955309e-23 3.092789e-22 1.222492e-03) (-9.318527e-25 1.116876e-23 -3.300534e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
47           	((1.155369e-03 -5.455254e-03 5.474361e-22) (2.342783e-05 1.694896e-06 4.484349e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.000234e-23 3.146038e-22 1.218220e-03) (-9.320222e-25 1.118781e-23 -3.396795e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
48           	((1.149437e-03 -5.573822e-03 5.651698e-22) (2.433736e-05 1.759246e-06 4.567708e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.050187e-23 3.202862e-22 1.260932e-03) (-9.517353e-25 1.140554e-23 -3.433810e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
49           	((1.148176e-03 -5.588547e-03 5.835258e-22) (2.501390e-05 1.832647e-06 4.527881e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.094749e-23 3.254860e-22 1.263084e-03) (-9.426212e-25 1.131326e-23 -3.553541e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
50           	((1.143600e-03 -5.677052e-03 6.039918e-22) (2.587790e-05 1.903300e-06 4.586974e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.147551e-23 3.315811e-22 1.294857e-03) (-9.554873e-25 1.145679e-23 -3.621130e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
51           	((1.144976e-03 -5.693050e-03 6.172455e-22) (2.650142e-05 1.971480e-06 4.634540e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.187936e-23 3.361192e-22 1.295658e-03) (-9.672461e-25 1.161217e-23 -3.731303e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
52           	((1.145128e-03 -5.738365e-03 6.424563e-22) (2.724440e-05 2.042727e-06 4.643808e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.249612e-23 3.433059e-22 1.309617e-03) (-9.672276e-25 1.160427e-23 -3.823734e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
53           	((1.150988e-03 -5.692978e-03 6.653247e-22) (2.785048e-05 2.101817e-06 4.525139e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.300416e-23 3.493342e-22 1.288339e-03) (-9.424697e-25 1.131596e-23 -3.880149e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
54           	((1.157910e-03 -5.676678e-03 6.781576e-22) (2.849606e-05 2.158172e-06 4.525158e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.334532e-23 3.532522e-22 1.277557e-03) (-9.459108e-25 1.132970e-23 -3.929835e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
55           	((1.158056e-03 -5.679497e-03 7.017530e-22) (2.898087e-05 2.204086e-06 4.760737e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.399566e-23 3.606762e-22 1.273603e-03) (-9.915620e-25 1.188221e-23 -3.968964e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
56           	((1.160058e-03 -5.672789e-03 7.183431e-22) (2.961887e-05 2.253847e-06 4.502857e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.439980e-23 3.653890e-22 1.268371e-03) (-9.406239e-25 1.124826e-23 -3.973285e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
57           	((1.156833e-03 -5.726754e-03 7.389732e-22) (3.020619e-05 2.309221e-06 4.679058e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.496164e-23 3.718155e-22 1.286327e-03) (-9.762584e-25 1.166251e-23 -4.033086e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
58           	((1.163284e-03 -5.610801e-03 7.574192e-22) (3.058293e-05 2.356254e-06 4.557050e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.536577e-23 3.766238e-22 1.239066e-03) (-9.503171e-25 1.137482e-23 -4.094349e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
59           	((1.175126e-03 -5.504010e-03 7.700357e-22) (3.104375e-05 2.398978e-06 4.533811e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.563745e-23 3.798675e-22 1.193800e-03) (-9.464424e-25 1.132381e-23 -4.119055e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
60           	((1.185438e-03 -5.426194e-03 7.844850e-22) (3.141715e-05 2.443582e-06 4.633217e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.601162e-23 3.841839e-22 1.158980e-03) (-9.680104e-25 1.158645e-23 -4.187779e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
61           	((1.192207e-03 -5.359521e-03 7.979485e-22) (3.175974e-05 2.492200e-06 4.679555e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.637370e-23 3.883341e-22 1.129648e-03) (-9.768913e-25 1.170167e-23 -4.281099e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
62           	((1.194989e-03 -5.304095e-03 8.096779e-22) (3.210632e-05 2.540440e-06 4.650945e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.669311e-23 3.919877e-22 1.106169e-03) (-9.726051e-25 1.165797e-23 -4.370782e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
