# Forces     
# CofR       : (5.000000e-01 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
58           	((4.737650e-03 -2.587517e-02 3.406985e-21) (1.029801e-04 9.619196e-06 1.672706e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.533561e-22 1.639468e-21 6.094564e-03) (-3.491627e-24 4.179422e-23 -1.381480e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
59           	((4.837536e-03 -2.463785e-02 3.436771e-21) (1.031170e-04 9.797801e-06 1.517286e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.533265e-22 1.640721e-21 5.598164e-03) (-3.163646e-24 3.795920e-23 -1.434597e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
60           	((4.915089e-03 -2.370644e-02 3.477708e-21) (1.035948e-04 9.947051e-06 1.552574e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.537221e-22 1.646607e-21 5.222513e-03) (-3.229078e-24 3.873090e-23 -1.472088e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
61           	((4.937436e-03 -2.360574e-02 3.417070e-21) (1.041830e-04 1.006047e-05 1.668342e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.533392e-22 1.639827e-21 5.153182e-03) (-3.497455e-24 4.182032e-23 -1.502005e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
62           	((4.881888e-03 -2.388782e-02 3.447965e-21) (1.048851e-04 1.022472e-05 1.664564e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.547258e-22 1.654655e-21 5.256319e-03) (-3.475163e-24 4.152867e-23 -1.542201e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
63           	((4.838661e-03 -2.363192e-02 3.471353e-21) (1.053710e-04 1.039872e-05 1.620792e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.552718e-22 1.661072e-21 5.166582e-03) (-3.377686e-24 4.040869e-23 -1.587596e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
64           	((4.841007e-03 -2.350939e-02 3.462327e-21) (1.059639e-04 1.054560e-05 1.612775e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.554114e-22 1.661939e-21 5.109081e-03) (-3.375412e-24 4.033549e-23 -1.622106e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
65           	((4.981045e-03 -2.177296e-02 3.503782e-21) (1.051581e-04 1.073260e-05 1.502617e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.551961e-22 1.662021e-21 4.424881e-03) (-3.130409e-24 3.760543e-23 -1.705089e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
66           	((5.035971e-03 -2.133867e-02 3.451909e-21) (1.052402e-04 1.086519e-05 1.682495e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.547251e-22 1.654852e-21 4.228706e-03) (-3.531184e-24 4.227938e-23 -1.759195e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
67           	((4.995097e-03 -2.154762e-02 3.498439e-21) (1.054451e-04 1.101964e-05 1.703479e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.564322e-22 1.673545e-21 4.305779e-03) (-3.563632e-24 4.265944e-23 -1.814281e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
