"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
-0.011022,1.0084,-0.004454,0,-1.4714,-4.523,0
-0.011536,1.0089,-0.0045186,0,-1.4205,-4.523,0
-0.012057,1.0094,-0.0045758,0,-1.3695,-4.523,0
-0.012585,1.0099,-0.0046255,0,-1.3185,-4.523,0
-0.013118,1.0105,-0.0046678,0,-1.2676,-4.523,0
-0.013655,1.011,-0.0047026,0,-1.2166,-4.523,0
-0.014195,1.0115,-0.0047299,0,-1.1657,-4.523,0
-0.014738,1.0121,-0.0047497,0,-1.1147,-4.523,0
-0.015282,1.0126,-0.0047622,0,-1.0638,-4.523,0
-0.015825,1.0131,-0.0047672,0,-1.0128,-4.523,0
-0.016367,1.0137,-0.004765,0,-0.96187,-4.523,0
-0.016908,1.0142,-0.0047556,0,-0.91092,-4.523,0
-0.017444,1.0147,-0.0047391,0,-0.85997,-4.523,0
-0.017976,1.0153,-0.0047157,0,-0.80901,-4.523,0
-0.018503,1.0158,-0.0046853,0,-0.75806,-4.523,0
-0.019027,1.0163,-0.004632,7.4903e-22,-0.70711,-4.523,0
-0.0022734,1,0,0,-3,-4.4276,0
-0.0022798,1,-0.00014347,0,-2.949,-4.4276,0
-0.0023019,1,-0.00032681,0,-2.8981,-4.4276,0
-0.0023429,1.0001,-0.00053987,0,-2.8471,-4.4276,0
-0.002402,1.0001,-0.00076947,0,-2.7962,-4.4276,0
-0.0024791,1.0002,-0.0010063,0,-2.7452,-4.4276,0
-0.002576,1.0003,-0.0012438,0,-2.6943,-4.4276,0
-0.0026947,1.0005,-0.0014796,0,-2.6433,-4.4276,0
-0.002836,1.0006,-0.0017126,0,-2.5924,-4.4276,0
-0.0029999,1.0008,-0.0019425,0,-2.5414,-4.4276,0
-0.0031861,1.001,-0.0021687,0,-2.4905,-4.4276,0
-0.0033943,1.0012,-0.0023908,0,-2.4395,-4.4276,0
-0.0036242,1.0014,-0.0026086,0,-2.3886,-4.4276,0
-0.0038753,1.0017,-0.0028215,0,-2.3376,-4.4276,0
-0.0041474,1.002,-0.0030292,0,-2.2867,-4.4276,0
-0.0044399,1.0023,-0.0032314,0,-2.2357,-4.4276,0
-0.0047525,1.0026,-0.0034277,0,-2.1847,-4.4276,0
-0.0050846,1.0029,-0.0036178,0,-2.1338,-4.4276,0
-0.0054356,1.0033,-0.0038014,0,-2.0828,-4.4276,0
-0.0058051,1.0037,-0.0039782,0,-2.0319,-4.4276,0
-0.0061923,1.004,-0.0041479,0,-1.9809,-4.4276,0
-0.0065966,1.0044,-0.0043103,0,-1.93,-4.4276,0
-0.0070174,1.0049,-0.004465,0,-1.879,-4.4276,0
-0.0074539,1.0053,-0.004612,0,-1.8281,-4.4276,0
-0.0079054,1.0058,-0.0047509,0,-1.7771,-4.4276,0
-0.0083711,1.0062,-0.0048815,0,-1.7262,-4.4276,0
-0.0088501,1.0067,-0.0050038,0,-1.6752,-4.4276,0
-0.0093416,1.0072,-0.0051175,0,-1.6243,-4.4276,0
-0.0098447,1.0077,-0.0052225,0,-1.5733,-4.4276,0
-0.010358,1.0082,-0.0053186,0,-1.5224,-4.4276,0
-0.010882,1.0087,-0.0054059,0,-1.4714,-4.4276,0
-0.011414,1.0092,-0.0054842,0,-1.4205,-4.4276,0
-0.011954,1.0097,-0.0055534,0,-1.3695,-4.4276,0
-0.012501,1.0103,-0.0056135,0,-1.3185,-4.4276,0
-0.013053,1.0108,-0.0056644,0,-1.2676,-4.4276,0
-0.01361,1.0114,-0.0057063,0,-1.2166,-4.4276,0
-0.01417,1.0119,-0.0057389,0,-1.1657,-4.4276,0
-0.014733,1.0124,-0.0057625,0,-1.1147,-4.4276,0
-0.015297,1.013,-0.005777,0,-1.0638,-4.4276,0
-0.01586,1.0136,-0.0057826,0,-1.0128,-4.4276,0
-0.016423,1.0141,-0.0057792,0,-0.96187,-4.4276,0
-0.016984,1.0147,-0.0057671,0,-0.91092,-4.4276,0
-0.017541,1.0152,-0.0057463,0,-0.85997,-4.4276,0
-0.018093,1.0157,-0.005717,0,-0.80901,-4.4276,0
-0.01864,1.0163,-0.0056791,0,-0.75806,-4.4276,0
-0.019185,1.0168,-0.005613,-9.3812e-23,-0.70711,-4.4276,0
-0.0017731,1,0,0,-3,-4.3322,0
-0.0017797,1,-0.00016951,0,-2.949,-4.3322,0
-0.0018026,1,-0.00038614,0,-2.8981,-4.3322,0
-0.0018451,1.0001,-0.00063789,0,-2.8471,-4.3322,0
-0.0019063,1.0001,-0.00090922,0,-2.7962,-4.3322,0
-0.0019862,1.0002,-0.0011891,0,-2.7452,-4.3322,0
-0.0020866,1.0003,-0.0014698,0,-2.6943,-4.3322,0
-0.0022095,1.0005,-0.0017485,0,-2.6433,-4.3322,0
-0.0023559,1.0006,-0.002024,0,-2.5924,-4.3322,0
-0.0025258,1.0008,-0.0022957,0,-2.5414,-4.3322,0
-0.0027187,1.001,-0.0025631,0,-2.4905,-4.3322,0
-0.0029345,1.0012,-0.0028258,0,-2.4395,-4.3322,0
-0.0031728,1.0015,-0.0030832,0,-2.3886,-4.3322,0
-0.0034331,1.0018,-0.003335,0,-2.3376,-4.3322,0
-0.0037152,1.002,-0.0035807,0,-2.2867,-4.3322,0
-0.0040186,1.0024,-0.0038198,0,-2.2357,-4.3322,0
-0.0043429,1.0027,-0.0040521,0,-2.1847,-4.3322,0
-0.0046874,1.003,-0.004277,0,-2.1338,-4.3322,0
-0.0050517,1.0034,-0.0044942,0,-2.0828,-4.3322,0
-0.0054351,1.0038,-0.0047034,0,-2.0319,-4.3322,0
-0.0058371,1.0042,-0.0049042,0,-1.9809,-4.3322,0
-0.006257,1.0046,-0.0050963,0,-1.93,-4.3322,0
-0.0066941,1.005,-0.0052794,0,-1.879,-4.3322,0
-0.0071476,1.0055,-0.0054532,0,-1.8281,-4.3322,0
-0.0076168,1.006,-0.0056175,0,-1.7771,-4.3322,0
-0.0081008,1.0064,-0.0057721,0,-1.7262,-4.3322,0
-0.0085988,1.0069,-0.0059167,0,-1.6752,-4.3322,0
-0.00911,1.0074,-0.0060511,0,-1.6243,-4.3322,0
-0.0096334,1.008,-0.0061752,0,-1.5733,-4.3322,0
-0.010168,1.0085,-0.0062888,0,-1.5224,-4.3322,0
-0.010713,1.009,-0.0063918,0,-1.4714,-4.3322,0
-0.011267,1.0096,-0.0064842,0,-1.4205,-4.3322,0
-0.011829,1.0101,-0.0065657,0,-1.3695,-4.3322,0
-0.012399,1.0107,-0.0066364,0,-1.3185,-4.3322,0
-0.012974,1.0112,-0.0066962,0,-1.2676,-4.3322,0
-0.013555,1.0118,-0.0067451,0,-1.2166,-4.3322,0
-0.014139,1.0123,-0.0067832,0,-1.1657,-4.3322,0
-0.014726,1.0129,-0.0068103,0,-1.1147,-4.3322,0
-0.015314,1.0135,-0.0068267,0,-1.0638,-4.3322,0
-0.015902,1.0141,-0.0068323,0,-1.0128,-4.3322,0
-0.016489,1.0146,-0.0068274,0,-0.96187,-4.3322,0
-0.017074,1.0152,-0.0068119,0,-0.91092,-4.3322,0
-0.017656,1.0158,-0.0067861,0,-0.85997,-4.3322,0
